rec,SEz(abs),SEz(arg),SHt(abs),SHt(arg),SHz(abs),SHz(arg),SEt(abs),SEt(arg)
0
0,0.67928,3.01767,0.00180549,-0.125695,0.67928,3.01767,256.246,3.0159
1,0.67928,3.01767,0.00180549,-0.125695,0.67928,3.01767,256.246,3.0159
2,0.679036,3.02437,0.00180375,-0.11878,0.679036,3.02437,255.998,3.02281
3,0.678438,3.04014,0.0017997,-0.102478,0.678438,3.04014,255.423,3.03911
4,0.677498,3.06511,0.00179359,-0.0767277,0.677498,3.06511,254.557,3.06486
5,0.676248,3.09937,0.0017858,-0.0414686,0.676248,3.09937,253.452,3.10012
6,0.674759,-3.14017,0.00177685,0.00336623,0.674759,-3.14017,252.181,-3.13823
7,0.673165,-3.08705,0.00176739,0.057836,0.673165,-3.08705,250.839,-3.08376
8,0.67168,-3.02431,0.00175825,0.121993,0.67168,-3.02431,249.541,-3.0196
9,0.670624,-2.95185,0.00175044,0.195838,0.670624,-2.95185,248.432,-2.94575
10,0.670426,-2.86964,0.00174505,0.279296,0.670426,-2.86964,247.668,-2.8623
11,0.671623,-2.77781,0.00174339,0.372156,0.671623,-2.77781,247.432,-2.76944
12,0.674841,-2.67671,0.00174682,0.474044,0.674841,-2.67671,247.919,-2.66755
13,0.680742,-2.56698,0.00175676,0.584371,0.680742,-2.56698,249.329,-2.55722
14,0.689972,-2.44957,0.00177455,0.702315,0.689972,-2.44957,251.854,-2.43928
15,0.711221,-2.26177,0.00181859,0.891158,0.711221,-2.26177,258.104,-2.25043
16,0.730816,-2.13083,0.0018607,1.02319,0.730816,-2.13083,264.081,-2.1184
17,0.754863,-1.9969,0.00191336,1.15864,0.754863,-1.9969,271.555,-1.98296
18,0.783197,-1.86115,0.00197636,1.29627,0.783197,-1.86115,280.496,-1.84532
19,0.815452,-1.72448,0.00204901,1.43509,0.815452,-1.72448,290.807,-1.7065
20,0.851106,-1.58742,0.00213006,1.57433,0.851106,-1.58742,302.311,-1.56727
21,0.889532,-1.45026,0.0022179,1.71349,0.889532,-1.45026,314.777,-1.4281
22,0.930044,-1.31301,0.00231067,1.85234,0.930044,-1.31301,327.944,-1.28925
23,0.971918,-1.17557,0.0024062,1.99086,0.971918,-1.17557,341.502,-1.15073
24,1.01441,-1.03771,0.00250233,2.12917,1.01441,-1.03771,355.145,-1.01243
25,1.05676,-0.89918,0.0025967,2.26748,1.05676,-0.89918,368.539,-0.874112
26,1.09816,-0.759705,0.00268695,2.40611,1.09816,-0.759705,381.348,-0.735483
27,1.13776,-0.619012,0.00277074,2.54536,1.13776,-0.619012,393.239,-0.596229
28,1.17465,-0.476798,0.00284569,2.68559,1.17465,-0.476798,403.876,-0.456008
29,1.20787,-0.33275,0.00290939,2.82712,1.20787,-0.33275,412.918,-0.314469
30,1.23644,-0.186514,0.0029596,2.97032,1.23644,-0.186514,420.043,-0.171268
31,1.25936,-0.0376723,0.00299405,3.11557,1.25936,-0.0376723,424.932,-0.0260193
32,1.27569,0.114244,0.00301052,-3.01991,1.27569,0.114244,427.27,0.121678
33,1.28454,0.269787,0.00300727,-2.86932,1.28454,0.269787,426.809,0.272276
34,1.28519,0.429581,0.00298258,-2.71531,1.28519,0.429581,423.304,0.426285
