0.90746-1.3563i,0.99378-1.0871i,1.2279+0.44086i,1.0523-0.26524i,0.98227+1.3684i,0.79981+1.0586i,0.83928+1.0257i,1.135+1.1694i,0.97704-0.53557i,1.2924+0.32206i,0.9449-1.3364i,0.97391-1.2471i,0.91468-1.3595i,1.0244-1.2242i,1.2251+0.32927i,1.0642-0.40957i,0.9587+1.2649i,0.80114+1.005i,0.83916+1.0667i,1.1484+1.2584i,0.93856-0.38075i,1.2985+0.41855i,0.90555-1.1954i,0.97803-1.2405i
0.97267-1.2554i,0.88958+2.2878i,0.77347-0.36354i,1.1345+0.43203i,0.99598-0.13903i,1.3503-2.9495i,0.73659+0.2539i,1.3633-3.0107i,1.03-0.26485i,1.0776+0.27832i,0.85128-0.51444i,0.94235+2.2336i,0.86973-2.1183i,0.93771+2.2395i,0.84894-0.50277i,1.0879+0.28455i,1.0279-0.25799i,1.3577-3.0047i,0.73739+0.25309i,1.3478-2.9569i,1.0028-0.1402i,1.1329+0.42399i,0.77704-0.37864i,0.89223+2.2823i
0.80388-2.0622i,0.74879+2.4796i,0.90048-1.1829i,1.2991+0.42494i,0.93494-0.37588i,1.147+1.2683i,0.83966+1.0781i,0.79967+1.0015i,0.95668+1.2568i,1.067-0.42174i,1.2264+0.32438i,1.0258-1.2333i,0.91611-1.3589i,0.97086-1.2433i,0.94213-1.3248i,1.2904+0.32589i,0.97219-0.52645i,1.1324+1.1765i,0.83804+1.0336i,0.7998+1.054i,0.98294+1.358i,1.0538-0.27335i,1.2261+0.43914i,0.99547-1.0999i
0.86837-1.3382i,1.0568-1.0739i,0.77733-1.2217i,0.90371-0.24591i,1.0675+0.36765i,0.9902+0.082818i,1.1282-2.8614i,1.0834+0.081395i,1.1152-2.8566i,0.93123-0.15909i,1.1961+0.15852i,0.79897-0.5037i,0.80188+2.2634i,0.7986-2.0575i,0.80532+2.4019i,0.97751-0.36986i,1.0351+0.21865i,1.0024-0.044617i,1.1193-2.9219i,1.0812+0.084116i,1.1207-2.7908i,0.93351-0.018544i,1.2409+0.29611i,0.73224-0.34682i
0.57483+2.3946i,0.32677-1.8684i,0.6258+2.2786i,0.72386-0.006926i,1.2654+0.30674i,0.84579-0.20758i,1.1627+1.2216i,1.0055+0.81167i,1.1657+0.76304i,1.1034+1.0688i,0.97512-0.42073i,1.0419+0.18323i,0.8524-1.137i,0.88482-1.3368i,1.0354-1.0639i,0.82213-1.3964i,1.2745+0.19795i,0.86613-0.38093i,1.148+1.1205i,1.0163+0.77448i,1.1586+0.79163i,1.1067+1.1665i,0.95878-0.25389i,1.0319+0.33096i
0.92464-0.83115i,0.98722-0.88931i,1.1551-0.76002i,0.87753-1.1723i,1.1204+0.31264i,0.99717+0.20411i,1.0125+0.10359i,0.99843-2.6985i,1.0888+0.24658i,0.96048-2.8947i,0.95111-0.084814i,1.0503-0.057271i,0.7099-0.13673i,0.6307+2.2818i,0.32009-1.8896i,0.56502+2.3676i,0.77442-0.21419i,0.99691+0.049359i,1.0198-0.023641i,0.97638-2.7722i,1.0991+0.2573i,0.95544-2.8131i,0.95508+0.056997i,1.0671+0.097601i
0.86856+0.086826i,0.3225+2.0552i,0.18437-0.073483i,0.41893+1.9055i,0.87936-0.15392i,1.0695+0.22838i,0.90676-0.14479i,1.0922+1.1244i,0.88921+0.84927i,0.92953+0.88828i,1.0896+1.0329i,0.94795-0.36946i,1.1127+0.13559i,0.90305-0.96178i,1.0163-0.89214i,1.1355-0.73921i,0.87115-1.0099i,1.1371+0.15563i,0.92761-0.3183i,1.0991+1.0124i,0.89921+0.80766i,0.93497+0.92271i,1.0886+1.1338i,0.93266-0.19565i
1.1403+0.2195i,0.88123-0.95555i,1.1242-0.74088i,1.0226-0.89577i,0.90303-1.0251i,1.1229+0.080648i,0.92931-0.077745i,1.0039+0.19519i,1.0871-2.6906i,0.80517+0.14534i,1.0681-2.801i,0.99493-0.018192i,1.0413-0.02668i,0.86404-0.067739i,0.39928+1.9339i,0.1704-0.066679i,0.35442+1.9894i,0.86274+0.012915i,1.0617+0.05432i,1.0075+0.066794i,1.0704-2.7583i,0.80471+0.15027i,1.0798-2.7284i,1.0037+0.12245i
0.99348+0.1193i,0.75917-0.14825i,0.54222+2.4171i,0.31297-1.8479i,0.63289+2.2474i,0.72981-0.21938i,1.055-0.12598i,0.94634+0.17065i,1.0905+1.1963i,0.93434+0.94884i,0.90867+0.78464i,1.0986+0.95866i,0.9346-0.40864i,1.1483+0.086465i,0.86909-1.0972i,1.1503-0.75058i,1.0045-0.88335i,0.91794-0.8772i,1.1105+0.20664i,0.94827-0.28162i,1.0886+1.087i,0.92731+0.90412i,0.89836+0.82508i,1.0954+1.0645i
0.85539-0.304i,1.2762+0.24705i,0.81031-1.3366i,1.0365-1.0665i,0.88962-1.336i,0.85467-1.2046i,1.0413+0.12567i,0.97706-0.48814i,1.113+1.2565i,0.96166-2.7703i,1.1011+0.25365i,0.97568-2.8229i,1.0177-0.091269i,0.98293-0.036699i,0.80285-0.31065i,0.60122+2.303i,0.32054-1.9038i,0.60258+2.3332i,0.70791-0.031247i,1.0565+0.032612i,0.94708-0.00025808i,0.96036-2.8479i,1.0891+0.24907i,0.98938-2.7459i
0.99779+0.014497i,1.042+0.28817i,0.94342-0.32919i,0.78952+2.4339i,0.79817-2.0626i,0.80842+2.2321i,0.82146-0.54885i,1.1831+0.094979i,0.94641-0.21746i,1.1342-2.7315i,1.1563+0.81289i,1.0199+0.74734i,1.1442+1.0666i,0.89231-0.47764i,1.2809+0.13621i,0.85298-1.4731i,1.0478-1.0636i,0.8756-1.3373i,0.85082-1.0417i,1.0397+0.26101i,0.965-0.33494i,1.104+1.1276i,1.1587+0.78155i,1.0156+0.78985i
1.1425+1.2162i,0.95832-0.46451i,1.2935+0.36874i,0.92478-1.2725i,0.9773-1.2424i,0.91492-1.3513i,1.0314-1.2865i,1.2108+0.27204i,1.0761-0.48434i,0.94048+1.1992i,0.80892+1.1161i,1.0813+0.083862i,1.1227-2.9635i,1.0083-0.11015i,1.0082+0.13892i,1.0107-0.44644i,0.83638+2.347i,0.80013-2.0622i,0.77474+2.3006i,0.75739-0.40649i,1.2128+0.23522i,0.92138-0.085436i,1.1204-2.8168i,1.0816+0.081193i
1.363-2.9834i,1.0138-0.21597i,1.096+0.35114i,0.80749-0.44574i,0.9218+2.2563i,0.87352-2.1285i,0.96152+2.2015i,0.87862-0.57427i,1.0595+0.21032i,1.0455-0.31487i,1.3577-3.0347i,0.74541+0.28277i,0.83103+1.0056i,1.121+1.1168i,1.0055-0.60757i,1.275+0.26541i,0.96349-1.4001i,0.97037-1.2321i,0.91285-1.3586i,1.0059-1.1595i,1.2244+0.3849i,1.0561-0.34176i,0.97127+1.323i,0.79664+1.0356i
0.79879+1.0288i,0.97034+1.3137i,1.0587-0.35248i,1.2263+0.38086i,1.0063-1.169i,0.91317-1.3528i,0.97148-1.2314i,0.96269-1.3873i,1.2751+0.26795i,1.0121-0.60321i,1.1232+1.1269i,0.83293+1.01i,0.80885+0.97788i,1.3574-3.0344i,1.0462-0.32212i,1.0595+0.20441i,0.87932-0.57346i,0.96663+2.1994i,0.87186-2.1239i,0.91903+2.2652i,0.80261-0.44394i,1.1033+0.35782i,1.0128-0.20445i,1.3603-2.9756i
1.0791+0.078485i,1.1202-2.8253i,0.92293-0.09661i,1.2123+0.23213i,0.76785-0.41747i,0.77826+2.2896i,0.80233-2.0698i,0.8364+2.3532i,1.009-0.44169i,1.0083+0.1425i,0.99919-0.097738i,1.1228-2.96i,1.0802+0.082239i,1.1005-2.8914i,0.94559+1.2i,1.0762-0.48843i,1.2156+0.27156i,1.0329-1.2985i,0.91505-1.3518i,0.97572-1.2475i,0.92349-1.261i,1.2985+0.3764i,0.95525-0.45185i,1.1406+1.2273i
1.0132+0.79648i,1.1581+0.77412i,1.1054+1.1174i,0.9701-0.34077i,1.042+0.25405i,0.85176-1.0561i,0.87723-1.3341i,1.0478-1.0645i,0.85251-1.4634i,1.2859+0.13996i,0.88594-0.46945i,1.1465+1.0766i,1.0207+0.75267i,1.1581+0.81118i,1.0967+1.0048i,0.94519-0.22035i,1.1818+0.090904i,0.82936-0.55816i,0.81548+2.2279i,0.80029-2.0597i,0.78351+2.4471i,0.94435-0.31949i,1.0493+0.29462i,0.99679+0.023046i
0.98908-2.737i,1.0912+0.24882i,0.95736-2.8572i,0.95174-0.0076975i,1.0598+0.024135i,0.70416-0.05019i,0.60484+2.3261i,0.32278-1.8986i,0.60308+2.3107i,0.79655-0.30059i,0.97714-0.028626i,1.0164-0.087553i,0.97669-2.816i,1.0984+0.25229i,0.96158-2.7802i,0.95205-0.16342i,0.98089-0.49239i,1.047+0.12144i,0.85581-1.2171i,0.88985-1.3373i,1.0339-1.0662i,0.80709-1.3212i,1.2788+0.25443i,0.85073-0.29369i
1.095+1.0733i,0.89788+0.83094i,0.92826+0.89916i,1.0899+1.0754i,0.952-0.28707i,1.1097+0.20155i,0.91352-0.89157i,1.0028-0.88642i,1.1519-0.75185i,0.87094-1.0937i,1.1482+0.094181i,0.93309-0.39968i,1.0985+0.97004i,0.9087+0.79071i,0.93422+0.94534i,1.092+1.1872i,0.95053-0.46905i,1.0493-0.13119i,0.73079-0.23927i,0.64119+2.2388i,0.31679-1.8507i,0.53601+2.4338i,0.76074-0.12699i,0.99569+0.12657i
