inc,rec,Ez(real),Ez(imag),Ht(real),Ht(imag),Hz(real),Hz(imag),Et(real),Et(imag)
0,0,0.874383,2.14256,0.00226221,-1.03115,0,0,0,0
0,15,0.906294,1.35222,0.00236208,-1.79711,0,0,0,0
0,30,0.744712,-2.33862,0.00175446,0.9119,0,0,0,0
0,45,0.846204,0.984949,0.00148535,-2.15386,0,0,0,0
0,60,0.697476,-0.0588215,0.000523188,-3.05264,0,0,0,0
0,75,1.10541,-0.276028,0.000937506,2.93471,0,0,0,0
0,90,1.06598,-0.122931,0.000220351,2.3395,0,0,0,0
0,105,0.910067,0.231016,0.00092577,-0.0286047,0,0,0,0
0,120,1.02053,-0.0386923,0.00126645,-0.0499439,0,0,0,0
0,135,1.15999,-1.16276,0.00146626,-1.00756,0,0,0,0
0,150,1.12766,2.90102,0.00196644,2.90367,0,0,0,0
0,165,0.838273,-1.05166,0.00303959,-0.730404,0,0,0,0
0,180,0.736165,-0.252236,0.00343785,0.1284,0,0,0,0
0,195,0.837196,-1.06152,0.00304158,-0.736055,0,0,0,0
0,210,1.12532,2.89412,0.00197446,2.88358,0,0,0,0
0,225,1.15997,-1.17297,0.00146019,-1.01691,0,0,0,0
0,240,1.01561,-0.0446323,0.00127248,-0.0711246,0,0,0,0
0,255,0.907206,0.222297,0.000923112,-0.0447683,0,0,0,0
0,270,1.06858,-0.128724,0.000217419,2.33043,0,0,0,0
0,285,1.10123,-0.282091,0.000930579,2.9185,0,0,0,0
0,300,0.694206,-0.0668824,0.000522978,-3.10037,0,0,0,0
0,315,0.848842,0.96599,0.00148582,-2.18449,0,0,0,0
0,330,0.74387,-2.34311,0.00173586,0.896506,0,0,0,0
0,345,0.907462,1.35627,0.00236528,-1.7947,0,0,0,0
15,0,0.97267,1.25541,0.00252518,-1.91874,0,0,0,0
15,15,0.803879,2.06224,0.00209436,-1.09103,0,0,0,0
15,30,0.868367,1.33818,0.00227864,-1.81144,0,0,0,0
15,45,0.574828,-2.39465,0.0013034,0.898984,0,0,0,0
15,60,0.92464,0.831154,0.00170781,-2.3669,0,0,0,0
15,75,0.868563,-0.0868264,0.00094051,3.07109,0,0,0,0
15,90,1.14034,-0.219496,0.00103165,3.05981,0,0,0,0
15,105,0.993475,-0.119295,0.000159016,1.43449,0,0,0,0
15,120,0.855393,0.303995,0.00110337,-0.0793175,0,0,0,0
15,135,0.997786,-0.014497,0.00132007,-0.0497862,0,0,0,0
15,150,1.14249,-1.21621,0.00156399,-0.88253,0,0,0,0
15,165,1.36298,2.98342,0.00140609,2.71385,0,0,0,0
15,180,0.798794,-1.02883,0.0031162,-0.748799,0,0,0,0
15,195,1.07911,-0.0784851,0.00247273,0.0688192,0,0,0,0
15,210,1.01323,-0.796476,0.00255054,-0.962738,0,0,0,0
15,225,0.989078,2.73701,0.00238248,3.03792,0,0,0,0
15,240,1.09496,-1.0733,0.00163086,-1.22606,0,0,0,0
15,255,1.00273,-0.127752,0.00132173,0.0548288,0,0,0,0
15,270,0.935436,0.190453,0.000824891,-0.0193228,0,0,0,0
15,285,1.06962,-0.107541,0.000162191,2.80963,0,0,0,0
15,300,1.03429,-0.334677,0.000745741,2.77152,0,0,0,0
15,315,0.730776,0.337792,0.000911505,-2.14657,0,0,0,0
15,330,0.993782,1.08714,0.00186877,-2.00452,0,0,0,0
15,345,0.889577,-2.28779,0.00209601,0.937985,0,0,0,0
30,0,0.74879,-2.47963,0.00173576,0.753277,0,0,0,0
30,15,1.05677,1.07387,0.00275007,-2.07469,0,0,0,0
30,30,0.326773,1.86837,0.000861614,-1.31937,0,0,0,0
30,45,0.987223,0.889311,0.00260655,-2.25713,0,0,0,0
30,60,0.322496,-2.05517,0.000750913,1.46113,0,0,0,0
30,75,0.881226,0.95555,0.0015907,-2.19201,0,0,0,0
30,90,0.759173,0.148252,0.000759803,-2.63582,0,0,0,0
30,105,1.27618,-0.24705,0.00135943,2.93606,0,0,0,0
30,120,1.04205,-0.288174,0.000642154,1.60726,0,0,0,0
30,135,0.958325,0.464507,0.0011011,-0.448997,0,0,0,0
30,150,1.01376,0.215973,0.00147687,-0.431206,0,0,0,0
30,165,0.970336,-1.31372,0.00209263,-0.827789,0,0,0,0
30,180,1.12018,2.82529,0.00201813,3.03806,0,0,0,0
30,195,1.15813,-0.774121,0.00216675,-0.975058,0,0,0,0
30,210,1.09121,-0.248823,0.00258011,0.251885,0,0,0,0
30,225,0.897879,-0.830942,0.00283577,-0.915555,0,0,0,0
30,240,1.07763,2.71818,0.00215397,3.06978,0,0,0,0
30,255,1.08851,-1.13764,0.0016393,-1.12805,0,0,0,0
30,270,0.955805,-0.0682267,0.00145061,-0.0969881,0,0,0,0
30,285,0.962024,0.249453,0.000827252,-0.216732,0,0,0,0
30,300,1.24084,-0.30348,0.000828566,2.20454,0,0,0,0
30,315,1.22794,-0.440859,0.0012659,2.53692,0,0,0,0
30,330,0.773471,0.363536,0.00104142,-2.15479,0,0,0,0
30,345,0.900482,1.18288,0.0016786,-1.85663,0,0,0,0
45,0,0.777333,1.22174,0.00142983,-1.75461,0,0,0,0
45,15,0.625804,-2.27859,0.00138547,1.01666,0,0,0,0
45,30,1.15507,0.760015,0.00302498,-2.38241,0,0,0,0
45,45,0.184373,0.0734826,0.000529946,-3.01043,0,0,0,0
45,60,1.12422,0.740884,0.00295579,-2.40148,0,0,0,0
45,75,0.542216,-2.41711,0.0011938,0.905752,0,0,0,0
45,90,0.810311,1.33661,0.00147484,-1.64916,0,0,0,0
45,105,0.943416,0.329188,0.00133874,-2.45841,0,0,0,0
